id,Category,name,subtitle,price,discount_price,main_image_url,secondary_image_url,nutritional_info
2766,Refresco de naranja y de limón,Refresco de naranja Hacendado fresh gas,6 latas x 330 ml,"2,22 €",,https://prod-mercadona.imgix.net/images/025303a70699ee4fd705a7f19ff72c5b.jpg?fit=crop&h=600&w=600,https://prod-mercadona.imgix.net/images/2d389fe1a97d3986a32cd5b737db2bab.jpg?fit=crop&h=600&w=600,"Refresco de naranja Hacendado fresh gas, 6 latas x 330 Mililitros, 2,22€ por Pack"
1296,Cereales,Barritas de cereales Hacendado sabor mango,Caja 6 barritas (120 g),"1,65 €",,https://prod-mercadona.imgix.net/images/ad619b9e185f4acc9cc8cc6bbd846f84.jpg?fit=crop&h=600&w=600,https://prod-mercadona.imgix.net/images/a35c7d01390781c54b205570cec3efc3.jpg?fit=crop&h=600&w=600,"Barritas de cereales Hacendado sabor mango, Caja, 6 barritas (120 g), 1,65€ por Unidad"
1271,Cereales,Muesli Crunchy Hacendado con chocolate,Paquete 500 g,"2,45 €",,https://prod-mercadona.imgix.net/images/3d93c78bdee2295299fbdca9332e7439.jpg?fit=crop&h=600&w=600,https://prod-mercadona.imgix.net/images/7f76b4092bb247c8bb95fe3aee6e7e97.jpg?fit=crop&h=600&w=600,"Muesli Crunchy Hacendado con chocolate, Paquete, 500 Gramos, 2,45€ por Unidad"
502,Jamón serrano,Jamón cebo ibérico cortado a tapas,Paquete 90 g aprox.,"7,02 €",,https://prod-mercadona.imgix.net/images/984e3962a32d0374118407f2d7edef07.jpg?fit=crop&h=600&w=600,https://prod-mercadona.imgix.net/images/1e21aa0bbc4c22a6916d0699793bf06d.jpg?fit=crop&h=600&w=600,"Jamón cebo ibérico cortado a tapas, Paquete, 90 Gramos aprox., 7,02€ por Unidad"
1843,Otras salsas,Tomate frito sin azúcares añadidos Hacendado,Tarro 560 g,"1,10 €",,https://prod-mercadona.imgix.net/images/0680dffe67fb4eac8c3423ddd35f15a1.jpg?fit=crop&h=600&w=600,https://prod-mercadona.imgix.net/images/5e908efaab2c0615e5121565d8084b18.jpg?fit=crop&h=600&w=600,"Tomate frito sin azúcares añadidos Hacendado, Tarro, 560 Gramos, 1,10€ por Unidad"
599,Verdura,Ajo negro dientes pelados,Tarrina 85 g,"4,45 €",,https://prod-mercadona.imgix.net/images/aafe7d3532da499662ffc624e4cd05e4.jpg?fit=crop&h=600&w=600,https://prod-mercadona.imgix.net/images/4a5e0ab475db980744facc56bed2b437.jpg?fit=crop&h=600&w=600,"Ajo negro dientes pelados, Tarrina, 85 Gramos, 4,45€ por Unidad"
556,Aves y jamón cocido,Magro de cerdo cocido Coren,Lata 240 g,"2,69 €",,https://prod-mercadona.imgix.net/images/885af3abf0838fe6f72786cc4e689c6e.jpg?fit=crop&h=600&w=600,https://prod-mercadona.imgix.net/images/9771c88b8cdd2fe96c39c391ae11a1a5.jpg?fit=crop&h=600&w=600,"Magro de cerdo cocido Coren, Lata, 240 Gramos, 2,69€ por Unidad"
3842,Parafarmacia,Vaselina hidratante Deliplus,Tarro 100 g,"2,00 €",,https://prod-mercadona.imgix.net/images/03d022d20f7c59c7686b71445810bb54.jpg?fit=crop&h=600&w=600,https://prod-mercadona.imgix.net/images/d435c811565579a401bc1dacf0551aa7.jpg?fit=crop&h=600&w=600,"Vaselina hidratante Deliplus, Tarro, 100 Gramos, 2,00€ por Unidad"
298,Aves y pollo,Sangre hervida de pollo,Paquete 500 g,"2,20 €",,https://prod-mercadona.imgix.net/images/1be78e56533c9cd4cc502c8074539b5c.jpg?fit=crop&h=600&w=600,https://prod-mercadona.imgix.net/images/a2d46deaddc3f1e423460e2ac62b1bef.jpg?fit=crop&h=600&w=600,"Sangre hervida de pollo, Paquete, 500 Gramos, 2,20€ por Unidad"
788,Pan de horno,Barra pan de pueblo rebanada,1 ud. (800 g),"1,58 €",,https://prod-mercadona.imgix.net/images/77cc7feb7d78d72b25961bc190cf2e40.jpg?fit=crop&h=600&w=600,,"Barra pan de pueblo rebanada, 1 Unidad (800 g), 1,58€ por Unidad"
3643,Fijación cabello,Gel fijador cabello Xtra Forte Deliplus fijación 4,Bote 250 ml,"1,60 €",,https://prod-mercadona.imgix.net/images/03ced9a1f31ca4756c0c7578fa82225a.jpg?fit=crop&h=600&w=600,https://prod-mercadona.imgix.net/images/e580eb21a13fbd1cf02eb410005dc925.jpg?fit=crop&h=600&w=600,"Gel fijador cabello Xtra Forte Deliplus fijación 4, Bote, 250 Mililitros, 1,60€ por Unidad"
200,Pescado congelado,Sepia faraónica troceada limpia Hacendado congelada,Paquete 360 g escurrido,"5,00 €",,https://prod-mercadona.imgix.net/images/6030d5a8702a32ce6d75e12d5e233c7d.jpg?fit=crop&h=600&w=600,https://prod-mercadona.imgix.net/images/c9e19e4aba0cb083c895580440fd6ddd.jpg?fit=crop&h=600&w=600,"Sepia faraónica troceada limpia Hacendado congelada, Paquete, 360 Gramos escurrido, 5,00€ por Unidad"
4344,Coloración cabello,Coloración permanente 1 negro Colorcor,Caja 1 ud.,"3,90 €",,https://prod-mercadona.imgix.net/images/e2a8efd8e5dbca416df114350966c424.jpg?fit=crop&h=600&w=600,https://prod-mercadona.imgix.net/images/844661b3e492a2da8d56cbc77755694d.jpg?fit=crop&h=600&w=600,"Coloración permanente 1 negro Colorcor, Caja, 1 Unidad, 3,90€ por Unidad"
1913,Especias,Sal de ajo Hacendado,Bote 130 g,"1,80 €",,https://prod-mercadona.imgix.net/images/bd81680a3655bf89428f333254f34979.jpg?fit=crop&h=600&w=600,https://prod-mercadona.imgix.net/images/c40037ae91ff21ead66aa163f923de14.jpg?fit=crop&h=600&w=600,"Sal de ajo Hacendado, Bote, 130 Gramos, 1,80€ por Unidad"
1117,Mantequilla y margarina,Margarina Tulipán Original,Tarrina 400 g,"2,59 €",,https://prod-mercadona.imgix.net/images/3cceb0f1e6afce6f8c9571c9f5097156.jpg?fit=crop&h=600&w=600,https://prod-mercadona.imgix.net/images/7749d029548183aa772865e769c7ea66.jpg?fit=crop&h=600&w=600,"Margarina Tulipán Original, Tarrina, 400 Gramos, 2,59€ por Unidad"
